MyOE_HostAllocForCallHost         => MyHostAllocForCallHost
OE_ECPublicKey                    => oe_ec_public_key_t
OE_ECPublicKeyEqual               => oe_ec_public_key_equal
OE_ECPublicKeyFree                => oe_ec_public_key_free
OE_ECPublicKeyFromCoordinates     => oe_ec_public_key_from_coordinates
OE_ECPublicKeyInit                => oe_ec_public_key_init
OE_ECPublicKeyReadPEM             => oe_ec_public_key_read_pem
OE_ECPublicKeyToCoordinates       => oe_ec_public_key_to_coordinates
OE_ECPublicKeyVerify              => oe_ec_public_key_verify
OE_ECPublicKeyWritePEM            => oe_ec_public_key_write_pem
OE_ECType                         => oe_ec_type_t
OE_ECall                          => oe_ecall
OE_ECallFunction                  => oe_ecall_function
OE_ECallPages                     => oe_ecall_pages_t
OE_EGetKey                        => oe_egetkey
OE_EmulateCpuid                   => oe_emulate_cpuid
OE_Enclave                        => oe_enclave_t
OE_EnclaveFunc                    => oe_enclave_func_t
OE_EnclavePropertiesHeader        => oe_enclave_properties_header_t
OE_EnclaveSizeSettings            => oe_enclave_size_settings_t
OE_EnclaveType                    => oe_enclave_type_t
OE_Enter                          => oe_enter
OE_EnterSim                       => oe_enter_sim
OE_ExceptionDispatcher            => oe_exception_dispatcher
OE_ExceptionRecord                => oe_exception_record_t
OE_Exit                           => oe_exit
OE_FClose                         => mbed_test_fclose
OE_FEof                           => mbed_test_feof
OE_FGets                          => mbed_test_fgets
OE_FOpen                          => mbed_test_fopen
OE_FPutc                          => mbed_test_fputc
OE_FieldTI                        => oe_field_ti_t
OE_Fopen                          => oe_fopen
OE_FreeBuffer                     => oe_free_buffer
OE_FreeStruct                     => oe_free_struct
OE_Func                           => oe_func_t
OE_FunctionTI                     => oe_function_ti_t
OE_GetCodeFromCallArg1            => oe_get_code_from_call_arg1
OE_GetCreateFlags                 => oe_get_create_flags
OE_GetEnclaveThreadFpr            => oe_get_enclave_thread_fpr
OE_GetEnclaveThreadGpr            => oe_get_enclave_thread_gpr
OE_GetEnclaveThreadXState         => oe_get_enclave_thread_xstate
OE_GetFlagsFromCallArg1           => oe_get_flags_from_call_arg1
OE_GetFprHandler                  => oe_get_fpr_handler
OE_GetFuncFromCallArg1            => oe_get_func_from_call_arg1
OE_GetGSRegisterBase              => oe_get_gs_register_base
OE_GetGprHandler                  => oe_get_gpr_handler
OE_GetKey                         => oe_get_key
OE_GetMallocStats                 => oe_get_malloc_stats
OE_GetQETargetInfoArgs            => oe_get_qe_target_info_args_t
OE_GetQuoteArgs                   => oe_get_quote_args_t
OE_GetRegSetHandler               => oe_get_reg_set_handler
OE_GetReport                      => oe_get_report
OE_GetReportArgs                  => oe_get_report_args_t
OE_GetSealKey                     => oe_get_seal_key
OE_GetSealKeyByPolicy             => oe_get_seal_key_by_policy
OE_GetThreadData                  => oe_get_thread_data
OE_GettimeofdayArgs               => oe_gettimeofday_args_t
OE_HashType                       => oe_hash_type_t
OE_HexDump                        => oe_hex_dump
OE_HexString                      => oe_hex_string
OE_HostAllocForCallHost           => oe_host_alloc_for_call_host
OE_HostCalloc                     => oe_host_calloc
OE_HostFprintf                    => oe_host_fprintf
OE_HostFree                       => oe_host_free
OE_HostFreeForCallHost            => oe_host_free_for_call_host
OE_HostFunc                       => oe_host_func_t
OE_HostMalloc                     => oe_host_malloc
OE_HostPrintf                     => oe_host_printf
OE_HostRealloc                    => oe_host_realloc
OE_HostStackStrdup                => oe_host_stack_strdup
OE_HostStackStrdup1               => oe_host_stack_strdup1
OE_HostStackStrdup2               => oe_host_stack_strdup2
OE_HostStackStrdup3               => oe_host_stack_strdup3
OE_HostStrdup                     => oe_host_strdup
OE_Identity                       => oe_identity_t
OE_IllegalInstruction             => oe_illegal_instruction
OE_ImportStruct                   => oe_import_struct
OE_Inferior_Flags                 => oe_inferior_flags
OE_Inferior_Info                  => oe_inferior_info
OE_InitArg                        => oe_init_arg
OE_InitEnclaveArgs                => oe_init_enclave_args_t
OE_InitQuoteArgs                  => oe_init_quote_args_t
OE_InitializeCpuid                => oe_initialize_cpuid
OE_InitializeEnclave              => oe_initialize_enclave
OE_InitializeOpenSSL              => oe_initialize_openssl
OE_InitializeQuoteProvider        => oe_initialize_quote_provider
OE_IsAEP                          => oe_is_aep
OE_IsECKey                        => oe_is_ec_key
OE_IsOutsideEnclave               => oe_is_outside_enclave
OE_IsRSAKey                       => oe_is_rsa_key
OE_IsWithinEnclave                => oe_is_within_enclave
OE_Jmpbuf                         => oe_jmpbuf_t
OE_Longjmp                        => oe_longjmp
OE_Main                           => oe_main
OE_MakeCallArg1                   => oe_make_call_arg1
OE_MallocStats                    => oe_malloc_stats_t
OE_Memalign                       => oe_memalign
OE_MemalignFree                   => oe_memalign_free
OE_Memcmp                         => oe_memcmp
OE_Memcpy                         => oe_memcpy
OE_Memset                         => oe_memset
OE_Mutex                          => oe_mutex_t
OE_MutexDestroy                   => oe_mutex_destroy
OE_MutexImpl                      => oe_mutex_impl_t
OE_MutexInit                      => oe_mutex_init
OE_MutexLock                      => oe_mutex_lock
OE_MutexTryLock                   => oe_mutex_try_lock
OE_MutexUnlock                    => oe_mutex_unlock
OE_NanosleepArgs                  => oe_nanosleep_args_t
OE_OCall                          => oe_ocall
OE_OCallContext                   => oe_ocall_context_t
OE_OCallFunction                  => oe_ocall_function
OE_Once                           => oe_once
OE_OnceType                       => oe_once_t
OE_PadStruct                      => oe_pad_struct
OE_Page                           => oe_page
OE_ParamTI                        => oe_param_ti_t
OE_ParseReport                    => oe_parse_report
OE_Pause                          => oe_pause
OE_PrintArgs                      => oe_print_args_t
OE_PrintStruct                    => oe_print_struct
OE_Printf                         => oe_printf
OE_PrivateKey                     => oe_private_key_t
OE_PrivateKeyFree                 => oe_private_key_free
OE_PrivateKeyInit                 => oe_private_key_init
OE_PrivateKeyIsValid              => oe_private_key_is_valid
OE_PrivateKeyReadPEM              => oe_private_key_read_pem
OE_PrivateKeyRelease              => oe_private_key_release
OE_PrivateKeySign                 => oe_private_key_sign
OE_PrivateKeyWritePEM             => oe_private_key_write_pem
OE_PrivateKeyWritePEMCallback     => oe_private_key_write_pem_callback
OE_PtraceFunc                     => oe_ptrace_func
OE_PtraceRequestType              => oe_ptrace_request_type
OE_PtraceRquestHandler            => oe_ptrace_request_handler
OE_PublicKey                      => oe_public_key_t
OE_PublicKeyEqual                 => oe_public_key_equal
OE_PublicKeyFree                  => oe_public_key_free
OE_PublicKeyGetExponent           => oe_public_key_get_exponent
OE_PublicKeyGetModulus            => oe_public_key_get_modulus
OE_PublicKeyInit                  => oe_public_key_init
OE_PublicKeyIsValid               => oe_public_key_is_valid
OE_PublicKeyReadPEM               => oe_public_key_read_pem
OE_PublicKeyRelease               => oe_public_key_release
OE_PublicKeyVerify                => oe_public_key_verify
OE_PublicKeyWritePEM              => oe_public_key_write_pem
OE_PutErr                         => oe_puterr
OE_RSAGenerateKeyPair             => oe_rsa_generate_key_pair
OE_RSAPrivateKey                  => oe_rsa_private_key_t
OE_RSAPrivateKeyFree              => oe_rsa_private_key_free
OE_RSAPrivateKeyReadPEM           => oe_rsa_private_key_read_pem
OE_RSAPrivateKeySign              => oe_rsa_private_key_sign
OE_RSAPrivateKeyWritePEM          => oe_rsa_private_key_write_pem
OE_RSAPublicKey                   => oe_rsa_public_key_t
OE_RSAPublicKeyEqual              => oe_rsa_public_key_equal
OE_RSAPublicKeyFree               => oe_rsa_public_key_free
OE_RSAPublicKeyGetExponent        => oe_rsa_public_key_get_exponent
OE_RSAPublicKeyGetModulus         => oe_rsa_public_key_get_modulus
OE_RSAPublicKeyInit               => oe_rsa_public_key_init
OE_RSAPublicKeyReadPEM            => oe_rsa_public_key_read_pem
OE_RSAPublicKeyVerify             => oe_rsa_public_key_verify
OE_RSAPublicKeyWritePEM           => oe_rsa_public_key_write_pem
OE_RWLock                         => oe_rwlock_t
OE_RWLockDestroy                  => oe_rwlock_destroy
OE_RWLockImpl                     => oe_rwlock_impl_t
OE_RWLockInit                     => oe_rwlock_init
OE_RWLockReadLock                 => oe_rwlock_read_lock
OE_RWLockReadUnlock               => oe_rwlock_read_unlock
OE_RWLockTryReadLock              => oe_rwlock_try_read_lock
OE_RWLockTryWriteLock             => oe_rwlock_try_write_lock
OE_RWLockUnLock                   => oe_rwlock_unlock
OE_RWLockWriteLock                => oe_rwlock_write_lock
OE_RWLockWriteUnlock              => oe_rwlock_write_unlock
OE_Random                         => oe_random
OE_ReadProcessMemory              => oe_read_process_memory
OE_ReallocArgs                    => oe_realloc_args_t
OE_RegisterECall                  => oe_register_ecall
OE_RegisterOCall                  => oe_register_ocall
OE_Reloc                          => oe_reloc_t
OE_RemoveVectoredExceptionHandler => oe_remove_vectored_exception_handler
OE_Report                         => oe_report_t
OE_RestorePartialContext          => oe_restore_partial_context
OE_Result                         => oe_result_t
OE_ResultStr                      => oe_result_str
OE_RoundU32Power2                 => oe_round_power2_u32
OE_RoundU64ToPow2                 => oe_round_power2_u64
OE_RoundUpToMultiple              => oe_round_up_to_multiple
OE_SGXBuildEnclave                => oe_sgx_build_enclave
OE_SGXCleanupLoadContext          => oe_sgx_cleanup_load_context
OE_SGXCreateEnclave               => oe_sgx_create_enclave
OE_SGXEnclaveConfig               => oe_sgx_enclave_config_t
OE_SGXEnclaveProperties           => oe_sgx_enclave_properties_t
OE_SGXInitializeEnclave           => oe_sgx_initialize_enclave
OE_SGXInitializeLoadContext       => oe_sgx_initialize_load_context
OE_SGXLoadContext                 => oe_sgx_load_context_t
OE_SGXLoadEnclaveData             => oe_sgx_load_enclave_data
OE_SGXLoadIsDebug                 => oe_sgx_load_is_debug
OE_SGXLoadIsSimulation            => oe_sgx_load_is_simulation
OE_SGXLoadProperties              => oe_sgx_load_properties
OE_SGXLoadState                   => oe_sgx_load_state_t
OE_SGXLoadType                    => oe_sgx_load_type_t
OE_SGXMeasureCreateEnclave        => oe_sgx_measure_create_enclave
OE_SGXMeasureInitializeEnclave    => oe_sgx_measure_initialize_enclave
OE_SGXMeasureLoadEnclaveData      => oe_sgx_measure_load_enclave_data
OE_SGXSignEnclave                 => oe_sgx_sign_enclave
OE_SGXUpdateEnclaveProperties     => oe_sgx_update_enclave_properties
OE_SGXValidAttributes             => oe_sgx_is_valid_attributes
OE_SGXValidNumHeapPages           => oe_sgx_valid_num_heap_pages
OE_SGXValidNumStackPages          => oe_sgx_valid_num_stack_pages
OE_SGXValidNumTCS                 => oe_sgx_valid_num_tcs
OE_SGXValidProductID              => oe_sgx_valid_product_id
OE_SGXValidSecurityVersion        => oe_sgx_valid_security_version
OE_SGXValidateEnclaveProperties   => oe_sgx_validate_enclave_properties
OE_SHA256Context                  => oe_sha256_context_t
OE_SHA256ContextImpl              => oe_sha256_context_impl_t
OE_SHA256Final                    => oe_sha256_final
OE_SHA256Init                     => oe_sha256_init
OE_SHA256Str                      => oe_sha256_str
OE_SHA256ToStr                    => oe_sha256_to_str
OE_SHA256Update                   => oe_sha256_update
OE_Sbrk                           => oe_sbrk
OE_SealIDPolicy                   => oe_seal_id_policy_t
OE_SecureAESCMACEqual             => oe_secure_aes_cmac_equal
OE_SecureMemcpy                   => oe_secure_memcpy
OE_SecureZeroFill                 => oe_secure_zero_fill
OE_Segment                        => oe_segment_t
OE_SegmentationViolation          => oe_segmentation_violation
OE_SetAllocationFailureCallback   => oe_set_allocation_failure_callback
OE_SetArg                         => oe_set_arg
OE_SetArgByName                   => oe_set_arg_by_name
OE_SetEnclaveThreadFpr            => oe_set_enclave_thread_fpr
OE_SetEnclaveThreadGpr            => oe_set_enclave_thread_gpr
OE_SetEnclaveThreadXState         => oe_set_enclave_thread_xstate
OE_SetFprHandler                  => oe_set_fpr_handler
OE_SetGSRegisterBase              => oe_set_gs_register_base
OE_SetGprHandler                  => oe_set_gpr_handler
OE_SetProgramName                 => oe_set_program_name
OE_SetRegSetHandler               => oe_set_reg_set_handler
OE_Setjmp                         => oe_setjmp
OE_SingleStepHandler              => oe_single_step_handler
OE_SnapCurrentContext             => oe_snap_current_context
OE_Snprintf                       => oe_snprintf
OE_SpinDestroy                    => oe_spin_destroy
OE_SpinInit                       => oe_spin_init
OE_SpinLock                       => oe_spin_lock
OE_SpinUnlock                     => oe_spin_unlock
OE_Spinlock                       => oe_spinlock_t
OE_StackAlloc                     => oe_stack_alloc
OE_Strcmp                         => oe_strcmp
OE_Strcpy                         => oe_strcpy
OE_Strdup                         => oe_strdup
OE_StrftimeArgs                   => oe_strftime_args_t
OE_Strlcat                        => oe_strlcat
OE_Strlcpy                        => oe_strlcpy
OE_Strlen                         => oe_strlen
OE_Strncmp                        => oe_strncmp
OE_Strnlen                        => oe_strnlen
OE_StructEq                       => oe_struct_eq
OE_StructFindField                => oe_struct_find_field
OE_StructTI                       => oe_struct_ti_t
OE_TerminateEnclave               => oe_terminate_enclave
OE_TestStructPadding              => oe_test_struct_padding
OE_Thread                         => oe_thread_t
OE_ThreadAttr                     => oe_thread_attr_t
OE_ThreadData                     => oe_thread_data_t
OE_ThreadEqual                    => oe_thread_equal
OE_ThreadGetSpecific              => oe_thread_get_specific
OE_ThreadKey                      => oe_thread_key_t
OE_ThreadKeyCreate                => oe_thread_key_create
OE_ThreadKeyDelete                => oe_thread_key_delete
OE_ThreadSelf                     => oe_thread_self
OE_ThreadSetSpecific              => oe_thread_set_specific
OE_ThreadWakeWaitArgs             => oe_thread_wake_wait_args_t
OE_Type                           => oe_type_t
OE_VectoredExceptionHandler       => oe_vectored_exception_handler
OE_Verify                         => oe_verify
OE_VerifyCertError                => oe_verify_cert_error_t
OE_VerifyReport                   => oe_verify_report
OE_VerifyReportArgs               => oe_verify_report_args_t
OE_Vsnprintf                      => oe_vsnprintf
OE_WaitpidFunc                    => oe_waitpid_func_t
OE_WriteProcessMemory             => oe_write_process_memory
OE_va_arg                         => oe_va_arg
OE_va_copy                        => oe_va_copy
OE_va_end                         => oe_va_end
OE_va_list                        => oe_va_list
OE_va_start                       => oe_va_start
SGX_Attributes                    => sgx_attributes_t
SGX_ECDSA256Key                   => sgx_ecdsa256_key_t
SGX_ECDSA256Signature             => sgx_ecdsa256_signature_t
SGX_EInitToken                    => sgx_einittoken_t
SGX_ENCLULeaf                     => sgx_encluleaf_t
SGX_EPIDGroupID                   => sgx_epid_group_id_t
SGX_ExitInfo                      => sgx_exit_info
SGX_GetQETargetInfo               => sgx_get_qetarget_info
SGX_GetQuote                      => sgx_get_quote
SGX_GetQuoteSize                  => sgx_get_quote_size
SGX_InitQuote                     => sgx_init_quote
SGX_IoctlEnclaveAddPage           => sgx_ioctl_enclave_add_page
SGX_IoctlEnclaveCreate            => sgx_ioctl_enclave_create
SGX_IoctlEnclaveInit              => sgx_ioctl_enclave_init
SGX_Key                           => sgx_key_t
SGX_KeyRequest                    => sgx_key_request_t
SGX_LaunchToken                   => sgx_launch_token_t
SGX_Nonce                         => sgx_nonce_t
SGX_QEAuthData                    => sgx_qe_auth_data_t
SGX_QECertData                    => sgx_qe_cert_data_t
SGX_Quote                         => sgx_quote_t
SGX_QuoteAuthData                 => sgx_quote_auth_data_t
SGX_QuoteSignature                => sgx_quote_signature_t
SGX_QuoteType                     => sgx_quote_type_t
SGX_Report                        => sgx_report_t
SGX_ReportBody                    => sgx_report_body_t
SGX_ReportData                    => sgx_report_data_t
SGX_SPID                          => sgx_spid_t
SGX_SecInfo                       => sgx_secinfo_t
SGX_Secs                          => sgx_secs_t
SGX_SigRL                         => sgx_sig_rl_t
SGX_SigStruct                     => sgx_sigstruct_t
SGX_SigStructBody                 => sgx_sigstruct_body
SGX_SigStructBodySize             => sgx_sigstruct_body_size
SGX_SigStructHeader               => sgx_sigstruct_header
SGX_SigStructHeaderSize           => sgx_sigstruct_header_size
SGX_Sigstruct                     => sgx_sigstruct
SGX_SsaGpr                        => sgx_ssa_gpr_t
SGX_TCS                           => sgx_tcs_t
SGX_TargetInfo                    => sgx_target_info_t
SGX_WrapKey                       => sgx_wrap_key_t
_OE_AtExitEntry                   => _oe_atexit_entry
_OE_BasicXState                   => _oe_basic_xstate
_OE_Cert                          => _oe_cert
_OE_CertChain                     => _oe_cert_chain
_OE_CleanupXStates                => _oe_cleanup_xstates
_OE_ClockgettimeArgs              => _oe_clock_gettime_args
_OE_Code                          => _oe_code
_OE_Cond                          => _oe_cond
_OE_CondImpl                      => _oe_cond_impl
_OE_Context                       => _oe_context
_OE_CpuidTable                    => _oe_cpuid_table
_OE_ECPrivateKey                  => _oe_ec_private_key
_OE_ECPublicKey                   => _oe_ec_public_key
_OE_ECallPages                    => _oe_ecall_pages
_OE_Enclave                       => _oe_enclave
_OE_EnclavePropertiesHeader       => _oe_enclave_properties_header
_OE_EnclaveSizeSettings           => _oe_enclave_size_settings
_OE_EnclaveType                   => _oe_enclave_type
_OE_ExceptionDispatcher           => _oe_exception_dispatcher
_OE_ExceptionRecord               => _oe_exception_record
_OE_Exit                          => _oe_exit
_OE_FieldTI                       => _oe_field_ti
_OE_Func                          => _oe_func
_OE_FunctionTI                    => _oe_function_ti
_OE_GetInferiorFlags              => _oe_get_inferior_flags
_OE_GetLocalReport                => _oe_get_local_report
_OE_GetQETargetInfoArgs           => _oe_get_qe_target_info_args
_OE_GetQuote                      => _oe_get_quote
_OE_GetQuoteArgs                  => _oe_get_quote_args
_OE_GetRemoteReport               => _oe_get_remote_report
_OE_GetReportArgs                 => _oe_get_report_args
_OE_GetReportKey                  => _oe_get_report_key
_OE_GetSGXReport                  => _oe_get_sgx_report
_OE_GetSGXTargetInfo              => _oe_get_sgx_target_info
_OE_GettimeofdayArgs              => _oe_gettimeofday_args
_OE_HashType                      => _oe_hash_type
_OE_HostOCallFrame                => oe_host_ocall_frame
_OE_HostStackBridge               => _oe_host_stack_bridge
_OE_Identity                      => _oe_identity
_OE_Inferior_Flags                => _oe_inferior_flags
_OE_Inferior_Info                 => _oe_inferior_info
_OE_InitEnclaveArgs               => _oe_init_enclave_args
_OE_InitQuoteArgs                 => _oe_init_quote_args
_OE_InitializeHostException       => _oe_initialize_host_exception
_OE_Jmpbuf                        => _oe_jmpbuf
_OE_MallocStats                   => _oe_malloc_stats
_OE_Mutex                         => _oe_mutex
_OE_MutexImpl                     => _oe_mutex_impl
_OE_NanosleepArgs                 => _oe_nanosleep_args
_OE_NotifyGdbEnclaveCreation      => _oe_notify_gdb_enclave_creation
_OE_NotifyGdbEnclaveTermination   => _oe_notify_gdb_enclave_termination
_OE_NotifyNestedExitStart         => _oe_notify_nested_exit_start
_OE_NotifyOCallEnd                => _oe_notify_ocall_end
_OE_NotifyOCallStart              => _oe_notify_ocall_start
_OE_OCallContext                  => _oe_ocall_context
_OE_Page                          => _oe_page
_OE_ParamTI                       => _oe_param_ti
_OE_ParseSGXReportBody            => _oe_parse_sgx_report_body
_OE_PrintArgs                     => _oe_print_args
_OE_PrivateKey                    => _oe_private_key
_OE_PublicKey                     => _oe_public_key
_OE_PushEnclaveInstance           => _oe_push_enclave_instance
_OE_QueryEnclaveInstance          => _oe_query_enclave_instance
_OE_RSAPrivateKey                 => _oe_rsa_private_key
_OE_RSAPublicKey                  => _oe_rsa_public_key
_OE_RWLock                        => _oe_rwlock
_OE_RWLockImpl                    => _oe_rwlock_impl
_OE_ReallocArgs                   => _oe_realloc_args
_OE_Reloc                         => _oe_reloc
_OE_RemoveEnclaveInstance         => _oe_remove_enclave_instance
_OE_Report                        => _oe_report
_OE_Result                        => _oe_result
_OE_SGXLoadContext                => _oe_sgx_load_context
_OE_SGXLoadState                  => _oe_sgx_load_state
_OE_SGXLoadType                   => _oe_sgx_load_type
_OE_SHA256Context                 => _oe_sha256_context
_OE_SHA256ContextImpl             => _oe_sha256_context_impl
_OE_SealIDPolicy                  => _oe_seal_id_policy
_OE_Segment                       => _oe_segment
_OE_SetInferiorFlags              => _oe_set_inferior_flags
_OE_StrftimeArgs                  => _oe_strftime_args
_OE_StructTI                      => _oe_struct_ti
_OE_ThreadAttr                    => _oe_thread_attr
_OE_ThreadData                    => _oe_thread_data
_OE_ThreadWakeWaitArgs            => _oe_thread_wake_wait_args
_OE_TrackInferior                 => _oe_track_inferior
_OE_Type                          => _oe_type
_OE_UntrackInferior               => _oe_untrack_inferior
_OE_VerifyCertError               => _oe_verify_cert_error
_OE_VerifyReportArgs              => _oe_verify_report_args
_OE_VirtualExceptionDispatcher    => _oe_virtual_exception_dispatcher
_SGX_Attributes                   => _sgx_attributes
_SGX_CreateReport                 => _sgx_create_report
_SGX_ECDSA256Key                  => _sgx_ecdsa256_key
_SGX_ECDSA256Signature            => _sgx_ecdsa256_signature
_SGX_EInitToken                   => _sgx_einittoken
_SGX_ENCLULeaf                    => _sgx_encluleaf
_SGX_EPIDGroupID                  => _sgx_epid_group_id
_SGX_GetQuoteFromAesm             => _sgx_get_quote_from_aesm
_SGX_GetQuoteSizeFromAesm         => _sgx_get_quote_size_from_aesm
_SGX_InitQuoteWithAesm            => _sgx_init_quote_with_aesm
_SGX_Key                          => _sgx_key
_SGX_KeyRequest                   => _sgx_key_request
_SGX_LaunchToken                  => _sgx_launch_token
_SGX_Nonce                        => _sgx_nonce
_SGX_QEAuthData                   => _sgx_qe_auth_data
_SGX_QECertData                   => _sgx_qe_cert_data
_SGX_Quote                        => _sgx_quote
_SGX_QuoteAuthData                => _sgx_quote_auth_data
_SGX_QuoteSignature               => _sgx_quote_signature
_SGX_QuoteType                    => _sgx_quote_type
_SGX_Report                       => _sgx_report
_SGX_ReportBody                   => _sgx_report_body
_SGX_ReportData                   => _sgx_report_data
_SGX_SPID                         => _sgx_spid
_SGX_SecInfo                      => _sgx_secinfo
_SGX_Secs                         => _sgx_secs
_SGX_SigRL                        => _sgx_sig_rl
_SGX_SigStruct                    => _sgx_sigstruct
_SGX_TCS                          => _sgx_tcs
_SGX_TargetInfo                   => _sgx_target_info
_SGX_WrapKey                      => _sgx_wrap_key
__OE_AssertFail                   => __oe_assert_fail
__OE_CalculateSegmentsSize        => __oe_calculate_segments_size
__OE_CombineSegments              => __oe_combine_segments
__OE_DebugBreak                   => __oe_debug_break
__OE_DispatchOCall                => __oe_dispatch_ocall
__OE_FileExists                   => __oe_file_exists
__OE_GetECallBase                 => __oe_get_ecall_base
__OE_GetECallEnd                  => __oe_get_ecall_end
__OE_GetECallSize                 => __oe_get_ecall_size
__OE_GetEnclaveBase               => __oe_get_enclave_base
__OE_GetEnclaveSize               => __oe_get_enclave_size
__OE_GetHeapBase                  => __oe_get_heap_base
__OE_GetHeapEnd                   => __oe_get_heap_end
__OE_GetHeapSize                  => __oe_get_heap_size
__OE_GetRelocBase                 => __oe_get_reloc_base
__OE_GetRelocEnd                  => __oe_get_reloc_end
__OE_GetRelocSize                 => __oe_get_reloc_size
__OE_HandleMain                   => __oe_handle_main
__OE_HostOCallFrame               => _oe_host_ocall_frame
__OE_HostPrint                    => __oe_host_print
__OE_HostPutchar                  => __oe_host_putchar
__OE_HostPuts                     => __oe_host_puts
__OE_HostStackBridge              => __oe_host_stack_bridge
__OE_HostVfprintf                 => __oe_host_vfprintf
__OE_LoadFile                     => __oe_load_file
__OE_LoadPages                    => __oe_load_pages
__OE_LoadSegments                 => __oe_load_segments
__OE_Ocall                        => __oe_ocall
__OE_PutErr                       => __oe_puterr
__OE_RoundDownToPageSize          => __oe_round_down_to_page_size
__OE_RoundUpToPageSize            => __oe_round_up_to_page_size
__OE_TraceResult                  => __oe_trace_result
__SGX_DumpEinitToken              => __sgx_dump_einittoken
__SGX_DumpSigStruct               => __sgx_dump_sigstruct
eOE_Main                          => eoe_main
